,id,gen,avg
0,subject9,0,0.0
1,subject9,1,-0.6666666666666666
2,subject9,2,-0.6666666666666666
3,subject9,3,-2.0
4,subject9,4,-1.3333333333333333
5,subject9,5,-1.3333333333333333
6,subject9,6,-0.6666666666666666
7,subject9,7,0.0
8,subject9,8,0.0
