,id,gen,avg
0,subject3,0,-1.3333333333333333
1,subject3,1,-0.6666666666666666
2,subject3,2,-0.3333333333333333
3,subject3,3,-0.6666666666666666
4,subject3,4,-0.3333333333333333
5,subject3,5,-0.3333333333333333
6,subject3,6,0.0
7,subject3,7,0.0
8,subject3,8,0.0
