,id,gen,avg
0,subject1,0,-0.3333333333333333
1,subject1,1,-1.0
2,subject1,2,1.6666666666666667
3,subject1,3,2.0
4,subject1,4,3.6666666666666665
5,subject1,5,4.0
6,subject1,6,3.3333333333333335
7,subject1,7,2.6666666666666665
8,subject1,8,2.3333333333333335
