,rat_id,subject_id,generation,genes,fitness_score
0,06f2a0dd-f470-4673-8fdc-be3a99305f11,subject8,1,"['MP:0000021', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000021', 'MP:0002276', 'MP:0000021', 'MP:0000021', 'MP:0000097', 'MP:0002638']",-2
1,d34c7272-0352-425a-a76c-d915c7a5ee7c,subject8,1,"['MP:0000923', 'MP:0000021', 'MP:0000097', 'MP:0000097', 'MP:0002638', 'MP:0000376', 'MP:0000097', 'MP:0001191', 'MP:0000097', 'MP:0000021']",0
2,f3645ba6-e817-4c0c-baa1-56ec6bf22f83,subject8,1,"['MP:0000097', 'MP:0001191', 'MP:0000021', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000021', 'MP:0000923', 'MP:0001191']",1
3,3af397e4-f7c0-4a31-a7fa-2c111dcb6d99,subject8,2,"['MP:0000097', 'MP:0001191', 'MP:0000376', 'MP:0001191', 'MP:0000097', 'MP:0001191', 'MP:0000021', 'MP:0000097', 'MP:0000097', 'MP:0000097']",3
4,2688339e-a27a-4ee1-b9bb-1a28b73c4134,subject8,2,"['MP:0000097', 'MP:0001191', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000021', 'MP:0001191', 'MP:0000097', 'MP:0000021']",1
5,7cc69056-0259-44e3-b2aa-cfb17cd22e2b,subject8,2,"['MP:0000923', 'MP:0000097', 'MP:0002638', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0001191', 'MP:0000923']",-2
6,a76ccca8-1bc3-4635-bfc8-2e582911bdda,subject8,3,"['MP:0000021', 'MP:0000097', 'MP:0000376', 'MP:0000097', 'MP:0000376', 'MP:0001191', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0000097']",2
7,054aa6cb-0e6d-48a3-94a8-44efef8572ab,subject8,3,"['MP:0000097', 'MP:0001191', 'MP:0000923', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097']",1
8,0eafe2da-e8bb-43ac-b052-19810a234474,subject8,3,"['MP:0000097', 'MP:0000097', 'MP:0001191', 'MP:0000097', 'MP:0001191', 'MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097']",0
9,e5eb9a8e-486f-42fe-bc15-2f6dd611be80,subject8,4,"['MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0001191', 'MP:0001191']",3
