,rat_id,subject_id,generation,genes,fitness_score
0,cb5fe14e-8b35-47be-b079-b99c0156734f,subject2,1,"['MP:0000923', 'MP:0002638', 'MP:0000091', 'MP:0002638', 'MP:0000088', 'MP:0000088', 'MP:0000923', 'MP:0000091', 'MP:0000088', 'MP:0000088']",-2
1,a3e10e9d-a82e-4465-ae04-bb79df165d04,subject2,1,"['MP:0000088', 'MP:0000088', 'MP:0000088', 'MP:0000091', 'MP:0002638', 'MP:0000923', 'MP:0000097', 'MP:0000091', 'MP:0000088', 'MP:0000088']",-1
2,6599f89f-e8ea-4ccb-9474-f989a6264faf,subject2,1,"['MP:0000088', 'MP:0001191', 'MP:0001191', 'MP:0000088', 'MP:0000091', 'MP:0000091', 'MP:0000088', 'MP:0000091', 'MP:0002276', 'MP:0000923']",-1
3,91646f58-9b3f-4fb8-aae0-31bbf7c7ea14,subject2,2,"['MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0001191', 'MP:0001191', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",0
4,3c414439-7d82-447a-923f-ce5f686a8292,subject2,2,"['MP:0000091', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0001191', 'MP:0000091', 'MP:0000923', 'MP:0002276', 'MP:0001191']",-4
5,b6eeda24-852d-4e28-9925-86c203f2f669,subject2,2,"['MP:0000088', 'MP:0000091', 'MP:0000088', 'MP:0000091', 'MP:0002638', 'MP:0000091', 'MP:0001191', 'MP:0000091', 'MP:0000923', 'MP:0000091']",0
6,dd18fd83-6b83-4fc9-a9c0-8960c9e6a9c5,subject2,3,"['MP:0000923', 'MP:0000923', 'MP:0001191', 'MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000091']",-4
7,01d7302a-8933-49ab-8694-4510e7820dcb,subject2,3,"['MP:0000091', 'MP:0000923', 'MP:0001191', 'MP:0000091', 'MP:0001191', 'MP:0000091', 'MP:0001191', 'MP:0000923', 'MP:0000091', 'MP:0000923']",0
8,cb4a655b-6ac1-4673-8692-cbb6dfd6393b,subject2,3,"['MP:0001191', 'MP:0000091', 'MP:0000091', 'MP:0001191', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0001191', 'MP:0000091', 'MP:0000091']",3
9,d59b4d4d-9ff4-4b82-b37e-f60111cc5456,subject2,4,"['MP:0001191', 'MP:0001191', 'MP:0000091', 'MP:0000091', 'MP:0001191', 'MP:0000923', 'MP:0001191', 'MP:0000091', 'MP:0000923', 'MP:0000923']",1
