,rat_id,subject_id,generation,genes,fitness_score
0,cb139d92-5312-4b78-80e1-32a6fc95bffd,subject7,1,"['MP:0000021', 'MP:0000091', 'MP:0000021', 'MP:0000376', 'MP:0000091', 'MP:0000091', 'MP:0000021', 'MP:0000091', 'MP:0002638', 'MP:0000097']",0
1,c933e4d9-85d5-47b5-9e8c-a0b8be500042,subject7,1,"['MP:0002276', 'MP:0000097', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0000021', 'MP:0000376', 'MP:0000021', 'MP:0000376']",-6
2,295516cd-34b9-49f5-b6cd-602af127c46a,subject7,1,"['MP:0000021', 'MP:0000091', 'MP:0000091', 'MP:0000021', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091']",0
3,687b3425-13fc-4e7a-943d-d88b6c81785e,subject7,2,"['MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0002638', 'MP:0000021', 'MP:0000091', 'MP:0000091']",0
4,861a7b17-1d23-4aa6-9a0a-7ed3472f0f69,subject7,2,"['MP:0000091', 'MP:0000091', 'MP:0002638', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000021', 'MP:0000091', 'MP:0000091', 'MP:0000091']",0
5,8aa5005f-4a7b-4e64-b8a2-290747ab00a0,subject7,2,"['MP:0000021', 'MP:0000091', 'MP:0000021', 'MP:0002276', 'MP:0000097', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000376']",-8
6,f943852c-ddac-44b6-a1d1-70863907053e,subject7,3,"['MP:0000021', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000376', 'MP:0000091', 'MP:0000097', 'MP:0000021', 'MP:0000091']",0
7,49dd2772-b6f1-4ec2-9d8f-7ce6212c161c,subject7,3,"['MP:0000097', 'MP:0002276', 'MP:0000091', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0002638']",-6
8,c1f6c546-cb17-4ff4-b7ee-44e90caa51fa,subject7,3,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0002276']",-6
9,d024d286-6eb6-492f-bc14-2f7f3df0a309,subject7,4,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0002276', 'MP:0000097']",-4
10,791c5102-5a10-472d-8d05-6ed276a33898,subject7,4,"['MP:0000091', 'MP:0000021', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000097', 'MP:0000097', 'MP:0002276']",-4
11,753c46ce-fbb9-422d-803f-8c00e27efc2f,subject7,4,"['MP:0000097', 'MP:0000091', 'MP:0000376', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0000091']",-4
12,c8f68c41-7435-4f87-b226-c75c5cce94a9,subject7,5,"['MP:0002276', 'MP:0000097', 'MP:0000097', 'MP:0002276', 'MP:0000021', 'MP:0000091', 'MP:0002276', 'MP:0000097', 'MP:0002276', 'MP:0000091']",-8
13,f109a400-67e1-40c7-8b87-d15f0e0b3020,subject7,5,"['MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0002276']",-2
14,b35dbef1-8a57-4490-b62c-da3adca3586b,subject7,5,"['MP:0000021', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0002276', 'MP:0002276', 'MP:0000091']",-4
15,f1fb6f0a-dae1-4f03-a7b7-fa16b1b59464,subject7,6,"['MP:0000091', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000097']",-2
16,9c688d12-9b71-41f8-bc9c-4c734b251019,subject7,6,"['MP:0000097', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000091']",-6
17,34d28fc5-60b2-49a4-80df-46bef5152ac1,subject7,6,"['MP:0000097', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091']",-2
18,89571930-338a-4e0f-b0a1-4647adc2d613,subject7,7,"['MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0002276', 'MP:0000097', 'MP:0000091', 'MP:0002276']",-4
19,86186e7b-1493-4c57-a353-2bf55b806224,subject7,7,"['MP:0002276', 'MP:0002276', 'MP:0000097', 'MP:0000091', 'MP:0002276', 'MP:0002276', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0002276']",-10
20,a84c99ff-a486-48ab-9f91-abac7c3059da,subject7,7,"['MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000097']",-2
21,0432f606-fece-43fc-b781-e787f0cb2a9c,subject7,8,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000091']",-2
22,02be7abc-3169-4d09-b9a3-fee8d606095a,subject7,8,"['MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0002276']",-14
23,d6a3cfad-61d2-425e-bcac-062af3edec49,subject7,8,"['MP:0002276', 'MP:0000097', 'MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000097']",-6
24,2c9cea05-41b2-42c2-b7a9-86317277b39b,subject7,9,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0002276']",-10
25,6842f0c8-054f-4c43-be1f-c05610f73f9d,subject7,9,"['MP:0000091', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",-2
26,0c0d68b1-5673-4c91-837b-8f3301c24f1c,subject7,9,"['MP:0000091', 'MP:0002276', 'MP:0000097', 'MP:0002276', 'MP:0002276', 'MP:0002276', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000097']",-8
